Dates,International Business Machines Corporation (NYSE:IBM) - Share Pricing
Jun-28-2023,131.76
Jun-29-2023,134.06
Jun-30-2023,133.81
Jul-03-2023,133.67
Jul-05-2023,134.24
Jul-06-2023,132.16
Jul-07-2023,132.08
Jul-10-2023,132.90
Jul-11-2023,134.44
Jul-12-2023,132.84
Jul-13-2023,133.92
Jul-14-2023,133.40
Jul-17-2023,134.24
Jul-18-2023,135.36
Jul-19-2023,135.48
Jul-20-2023,138.38
Jul-21-2023,138.94
Jul-24-2023,139.54
Jul-25-2023,140.33
Jul-26-2023,141.07
Jul-27-2023,142.97
Jul-28-2023,143.45
Jul-31-2023,144.18
Aug-01-2023,143.33
Aug-02-2023,144.17
Aug-03-2023,144.45
Aug-04-2023,144.24
Aug-07-2023,146.18
