,Event,Year,Registered,Gender,Event Age,Zip,Estimated Finish Time,"Would you like to upgrade to the VIP Experience for the Red, White & Boom TC 5K?",Interested in Volunteering,Number of Dependents 18 and Younger Living with You,How did you hear about us?,How did you hear about us?  Other,Occupation,Highest Level of Education,Annual Household Income,I would like to Sponsor a Child for an additional $10.00
136,TC5K,2016,12/9/2015 9:23 PM,Female,52,55127,00:00:00,,Yes- I would like to be informed of volunteer opportunites,1.0,TCM Website/Email,,Administrative/Manager,Undergraduate Degree,less than $10 000,
138,TC5K,2016,12/9/2015 8:58 PM,Female,59,55127,00:00:00,,,0.0,TCM Website/Email,,Health Related Occupation,Technical/2 Year,,
143,TC5K,2016,12/7/2015 9:27 PM,Male,47,55070,00:00:00,,No Thank You,0.0,Friend/Family,,Health Related Occupation,Undergraduate Degree,,
148,TC5K,2016,12/2/2015 8:50 PM,Female,48,55112,00:00:00,Upgrade Team Up ,No Thank You,0.0,TCM Website/Email,,Health Related Occupation,Technical/2 Year,$50 001-$60 000,
152,TC5K,2016,11/29/2015 12:45 PM,Female,46,55305,00:00:00,,No Thank You,,Friend/Family,,,Undergraduate Degree,,Friend of TCM (paid additional $10.00) 
153,TC5K,2016,11/28/2015 6:45 PM,Female,58,55123,00:00:00,,No Thank You,,Friend/Family,,,Prefer not to answer,,
156,TC5K,2016,11/26/2015 1:15 PM,Female,54,55003,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
158,TC5K,2016,11/24/2015 10:17 PM,Male,58,55125,00:00:00,,No Thank You,,Facebook/Twitter/Social Media,,,Prefer not to answer,,
159,TC5K,2016,11/24/2015 10:17 PM,Female,57,55125,00:00:00,,No Thank You,,Facebook/Twitter/Social Media,,,Prefer not to answer,,
160,TC5K,2016,11/23/2015 3:35 PM,Male,50,55442,00:00:00,Upgrade Team Up ,No Thank You,0.0,Friend/Family,,Government/Public Safety,Technical/2 Year,$100 001-$110 000,
162,TC5K,2016,11/22/2015 11:34 AM,Female,57,55116,00:00:00,,No Thank You,,Friend/Family,,Health Related Occupation,Technical/2 Year,$80 001-$90 000,
164,TC5K,2016,11/18/2015 1:10 PM,Female,50,55104,00:00:00,,No Thank You,,TCM Website/Email,,,Post Graduate Degree,,
165,TC5K,2016,11/13/2015 7:15 PM,Female,52,55378,00:00:00,,,,TCM Website/Email,,,Prefer not to answer,,
168,TC5K,2016,11/6/2015 8:05 PM,Female,54,55311,00:00:00,,,,TCM Website/Email,,,Prefer not to answer,,
171,TC5K,2016,11/2/2015 9:04 PM,Male,47,55437,00:00:00,,No Thank You,,Coworker/Work,,Other,High School Graduate/GED,,
176,TC5K,2016,10/31/2015 12:56 PM,Male,60,55427,00:00:00,,,,Other,Prior races,,Prefer not to answer,,
178,TC5K,2016,10/31/2015 10:10 AM,Female,46,55401,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,Coworker/Work,,Education,Post Graduate Degree,$70 001-$80 000,Friend of TCM (paid additional $10.00) 
181,TC5K,2016,10/30/2015 9:56 AM,Female,58,55105,00:00:00,,No Thank You,0.0,TCM Website/Email,,Health Related Occupation,Post Graduate Degree,$80 001-$90 000,Friend of TCM (paid additional $10.00) 
189,TC5K,2016,10/26/2015 6:02 PM,Male,49,55305,00:00:00,Upgrade Team Up ,No Thank You,,Other,Previous runner,,Prefer not to answer,,
191,TC5K,2016,10/25/2015 7:02 PM,Female,59,55906,00:00:00,,No Thank You,0.0,TCM Website/Email,,,Prefer not to answer,,
192,TC5K,2016,10/24/2015 7:24 PM,Female,49,55426,00:00:00,,,,TCM Website/Email,,,Prefer not to answer,,
193,TC5K,2016,10/23/2015 2:58 PM,Male,50,55802,00:00:00,Upgrade Team Up ,No Thank You,,Friend/Family,,,Prefer not to answer,,
196,TC5K,2016,10/23/2015 11:02 AM,Male,51,55446,00:00:00,,No Thank You,0.0,TCM Website/Email,,Software Engineer,Post Graduate Degree,$110 001-$120 000,Friend of TCM (paid additional $10.00) 
197,TC5K,2016,10/22/2015 1:11 PM,Female,50,55024,00:00:00,,No Thank You,0.0,Other,work email,Health Related Occupation,High School Graduate/GED,$100 001-$110 000,
198,TC5K,2016,10/22/2015 12:57 PM,Female,54,55430,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,TCM Website/Email,,Clerical/Administrative,High School Graduate/GED,$40 001-$50 000,
199,TC5K,2016,10/22/2015 11:47 AM,Female,48,55109,00:00:00,,No Thank You,0.0,Running Group/Store,,Other,Prefer not to answer,,
202,TC5K,2016,10/21/2015 1:23 PM,Female,50,55417,00:00:00,Upgrade Team Up ,No Thank You,0.0,Facebook/Twitter/Social Media,,Entertainment Industry,Undergraduate Degree,,
205,TC5K,2016,10/21/2015 11:07 AM,Female,56,55379,00:00:00,,No Thank You,0.0,Friend/Family,,Education,Post Graduate Degree,$50 001-$60 000,
208,TC5K,2017,1/23/2017 10:48 PM,Female,57,55331,00:00:00,,,0.0,TCM Website/Email,,Health Related Occupation,Post Graduate Degree,$150 001-$200 000,
209,TC5K,2017,1/23/2017 12:28 PM,Female,59,55318,00:00:00,Upgrade Team Up ,,0.0,Friend/Family,Other runner,Education,Prefer not to answer,$90 001-$100 000,
213,TC5K,2017,1/20/2017 2:15 PM,Female,53,55311,00:00:00,,No Thank You,,Coworker/Work,,Marketing/Public Relations,Undergraduate Degree,,
214,TC5K,2017,1/20/2017 2:06 PM,Female,54,55422,00:00:00,,No Thank You,0.0,TCM Website/Email,,Marketing/Public Relations,Technical/2 Year,$50 001-$60 000,
215,TC5K,2017,1/19/2017 7:43 AM,Male,67,55125,00:00:00,,No Thank You,,TCM Website/Email,,Other,Undergraduate Degree,,
218,TC5K,2017,1/16/2017 9:25 AM,Female,50,55443,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
221,TC5K,2017,1/9/2017 2:20 PM,Female,60,55420,00:00:00,,No Thank You,0.0,TCM Website/Email,,,Post Graduate Degree,,
227,TC5K,2017,1/2/2017 7:59 PM,Male,52,55346,00:00:00,,No Thank You,,Coworker/Work,,,Prefer not to answer,,
228,TC5K,2017,1/2/2017 5:10 PM,Male,52,55024,00:00:00,,,,Friend/Family,,,Prefer not to answer,,
231,TC5K,2017,1/1/2017 8:58 PM,Female,60,55127,00:00:00,,No Thank You,0.0,TCM Website/Email,,Other,Technical/2 Year,,
233,TC5K,2017,12/30/2016 1:01 PM,Female,47,55042,00:00:00,,No Thank You,2.0,Friend/Family,,Health Related Occupation,Post Graduate Degree,,
235,TC5K,2017,12/29/2016 10:09 AM,Female,52,55303,00:00:00,,No Thank You,,Friend/Family,,Administrative/Manager,High School Graduate/GED,$70 001-$80 000,
236,TC5K,2017,12/29/2016 8:49 AM,Female,54,55426,00:00:00,,No Thank You,0.0,TCM Website/Email,,Administrative/Manager,Undergraduate Degree,$140 001-$150 000,
241,TC5K,2017,12/20/2016 1:40 PM,Male,53,55432,00:00:00,Upgrade Team Up ,No Thank You,1.0,TCM Website/Email,,Software Engineer,Undergraduate Degree,over $200 001,
242,TC5K,2017,12/20/2016 12:24 PM,Female,49,55420,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,TCM Website/Email,,Health Related Occupation,Undergraduate Degree,$120 001-$130 000,
244,TC5K,2017,12/13/2016 1:40 PM,Male,54,55347,00:00:00,,No Thank You,,Friend/Family,,,Prefer not to answer,,
245,TC5K,2017,12/13/2016 9:20 AM,Female,49,55419,00:00:00,,No Thank You,1.0,Coworker/Work,,Marketing/Public Relations,Undergraduate Degree,,
249,TC5K,2017,12/9/2016 9:07 AM,Female,51,55109,00:00:00,Upgrade Team Up ,No Thank You,0.0,Friend/Family,,Administrative/Manager,Undergraduate Degree,$150 001-$200 000,
250,TC5K,2017,12/7/2016 5:00 PM,Male,52,55122,00:00:00,,No Thank You,0.0,Coworker/Work,,Software Engineer,Post Graduate Degree,$140 001-$150 000,
253,TC5K,2017,12/6/2016 9:57 PM,Female,46,55038,00:00:00,,No Thank You,1.0,Facebook/Twitter/Social Media,,Health Related Occupation,Undergraduate Degree,$90 001-$100 000,
257,TC5K,2017,12/6/2016 8:14 PM,Male,47,55415,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
262,TC5K,2017,12/5/2016 8:03 PM,Female,47,55345,00:00:00,,No Thank You,2.0,Coworker/Work,,Other,Undergraduate Degree,,
265,TC5K,2017,12/5/2016 7:49 PM,Female,47,55124,00:00:00,,No Thank You,0.0,Running Group/Store,,Service,Post Graduate Degree,$40 001-$50 000,
269,TC5K,2017,12/1/2016 4:24 PM,Male,61,55427,00:00:00,,No Thank You,,Ad,,,Prefer not to answer,,
270,TC5K,2017,12/1/2016 3:50 PM,Female,51,55112,00:00:00,Upgrade Team Up ,Yes- I would like to be informed of volunteer opportunites,0.0,TCM Website/Email,,Finance/Account/Banker,Undergraduate Degree,$110 001-$120 000,
274,TC5K,2017,11/28/2016 11:13 AM,Male,52,55311,00:00:00,,No Thank You,2.0,TCM Website/Email,,Administrative/Manager,Post Graduate Degree,$150 001-$200 000,
275,TC5K,2017,11/27/2016 4:15 PM,Female,67,55075,00:00:00,,No Thank You,,TCM Website/Email,,,Prefer not to answer,,
277,TC5K,2017,11/26/2016 9:06 AM,Female,54,55406,00:00:00,,No Thank You,,Other,Previous races,,Prefer not to answer,,
280,TC5K,2017,11/25/2016 10:46 AM,Female,57,55437,00:00:00,,No Thank You,0.0,TCM Website/Email,,Other,Undergraduate Degree,$110 001-$120 000,
282,TC5K,2017,11/25/2016 10:31 AM,Female,46,55372,00:00:00,,No Thank You,0.0,Other,Completed the challenge lin 2016,Administrative/Manager,Technical/2 Year,$150 001-$200 000,Friend of TCM (paid additional $10.00) 
283,TC5K,2017,11/23/2016 9:02 PM,Female,49,55447,00:00:00,,No Thank You,0.0,Facebook/Twitter/Social Media,,Other,Prefer not to answer,,
284,TC5K,2017,11/23/2016 5:02 PM,Male,56,55311,00:00:00,,No Thank You,0.0,Friend/Family,,,Prefer not to answer,,
285,TC5K,2017,11/23/2016 5:02 PM,Female,55,55311,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,Friend/Family,,,Prefer not to answer,,
287,TC5K,2017,11/21/2016 9:43 AM,Female,59,55369,00:00:00,Upgrade Team Up ,No Thank You,,Other,,,Prefer not to answer,,
288,TC5K,2017,11/21/2016 9:43 AM,Female,50,55447,00:00:00,Upgrade Team Up ,No Thank You,,Other,,,Prefer not to answer,,
289,TC5K,2017,11/20/2016 9:38 PM,Female,60,55068,00:00:00,,,,TCM Website/Email,,Finance/Account/Banker,Undergraduate Degree,$80 001-$90 000,
290,TC5K,2017,11/20/2016 8:46 PM,Female,59,55122,00:00:00,,No Thank You,0.0,TCM Website/Email,,Administrative/Manager,Undergraduate Degree,,
294,TC5K,2017,11/18/2016 5:14 PM,Male,50,55305,00:00:00,Upgrade Team Up ,,0.0,Other,repeat runner,Other,Undergraduate Degree,$130 001-$140 000,
296,TC5K,2017,11/13/2016 7:12 PM,Female,51,55410,00:00:00,,No Thank You,0.0,Friend/Family,,Dentist/Physician,Post Graduate Degree,over $200 001,
297,TC5K,2017,11/13/2016 11:16 AM,Female,51,55104,00:00:00,,No Thank You,,TCM Website/Email,,,Post Graduate Degree,,
298,TC5K,2017,11/11/2016 6:34 AM,Female,55,55430,00:00:00,,No Thank You,0.0,Other,I have run these races previously,Clerical/Administrative,High School Graduate/GED,$50 001-$60 000,
300,TC5K,2017,11/9/2016 7:43 AM,Female,46,55406,00:00:00,Upgrade Team Up ,No Thank You,0.0,Friend/Family,,Finance/Account/Banker,Undergraduate Degree,$90 001-$100 000,
302,TC5K,2017,11/8/2016 10:58 AM,Male,46,55424,00:00:00,,No Thank You,1.0,Other,,,Prefer not to answer,,
303,TC5K,2017,11/7/2016 8:21 AM,Male,62,55038,00:00:00,,No Thank You,0.0,Ad,,Other,High School Graduate/GED,$90 001-$100 000,
305,TC5K,2017,11/6/2016 3:26 PM,Female,48,55123,00:00:00,,,,Friend/Family,,,Prefer not to answer,,
307,TC5K,2017,11/5/2016 8:26 AM,Female,55,54011,00:00:00,,,0.0,Friend/Family,,Education,Technical/2 Year,$60 001-$70 000,
309,TC5K,2017,11/3/2016 7:51 AM,Male,57,55311,00:00:00,,No Thank You,0.0,TCM Website/Email,,Attorney/Judicial,Post Graduate Degree,$150 001-$200 000,Friend of TCM (paid additional $10.00) 
313,TC5K,2017,11/1/2016 7:05 PM,Female,52,55107,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,TCM Website/Email,,Administrative/Manager,Post Graduate Degree,,
314,TC5K,2017,11/1/2016 7:03 PM,Female,51,55417,00:00:00,Upgrade Team Up ,No Thank You,0.0,TCM Website/Email,Previous events,Entertainment Industry,Undergraduate Degree,,
315,TC5K,2017,11/1/2016 3:56 PM,Female,58,55311,00:00:00,,No Thank You,,Other,prior year runner,,Prefer not to answer,,
316,TC5K,2017,11/1/2016 3:46 PM,Male,61,55311,00:00:00,,No Thank You,,Other,Prior racer,,Prefer not to answer,,
317,TC5K,2017,10/30/2016 10:05 PM,Male,73,55033,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,Friend/Family,,Software Engineer,Technical/2 Year,$60 001-$70 000,
322,TC5K,2017,10/30/2016 3:41 PM,Male,61,55372,00:00:00,,No Thank You,0.0,TCM Website/Email,TCM E-mail,Finance/Account/Banker,Undergraduate Degree,$150 001-$200 000,
327,TC5K,2017,10/27/2016 5:52 PM,Female,50,55426,00:00:00,,Yes- I would like to be informed of volunteer opportunites,0.0,Other,past participant,Insurance,Technical/2 Year,,
328,TC5K,2017,10/27/2016 12:43 PM,Male,51,55442,00:00:00,,No Thank You,0.0,Friend/Family,,Other,Technical/2 Year,$100 001-$110 000,
331,TC5K,2017,10/26/2016 5:39 AM,Female,57,55105,00:00:00,,No Thank You,0.0,TCM Website/Email,,,Prefer not to answer,,
332,TC5K,2017,10/25/2016 11:29 PM,Female,59,55105,00:00:00,,,0.0,TCM Website/Email,Email at work,Health Related Occupation,Post Graduate Degree,$80 001-$90 000,Friend of TCM (paid additional $10.00) 
333,TC5K,2017,10/25/2016 10:26 PM,Female,48,55104,00:00:00,,No Thank You,0.0,TCM Website/Email,,Hotel Restaurant,Technical/2 Year,$10 001-$20 000,
334,TC5K,2017,10/25/2016 9:25 PM,Female,60,55906,00:00:00,,No Thank You,0.0,TCM Website/Email,,Software Engineer,Post Graduate Degree,,
339,TC5K,2017,10/25/2016 3:28 PM,Male,57,55306,00:00:00,,No Thank You,0.0,TCM Website/Email,,Administrative/Manager,High School Graduate/GED,$110 001-$120 000,
